label,current_code,gdate,hdate,notes
03-H3-C-R6-,AMME,,,
04-H3-C-R6-,ANAR,,,
05-H3-C-R6-,BRMA,,,
06-H3-C-R6-,CEME,,,
07-H3-C-R6-,CHGL,,,
08-H3-C-R6-,CHPA,,,
09-H3-C-R6-,CLBO,,,
10-H3-C-R6-,CLPU,,,
11-H3-C-R6-,ERCI,,,
12-H3-C-R6-,EUSP,,,
13-H3-C-R6-,FEMI,,,
14-H3-C-R6-,HECO,,,
15-H3-C-R6-,HOMU,,,
16-H3-C-R6-,LACA,,,
17-H3-C-R6-,MEPO,,,
18-H3-C-R6-,MICA,,,
19-H3-C-R6-,NAAT,,,
20-H3-C-R6-,PLER,,,
21-H3-C-R6-,SACO,,,
22-H3-C-R6-,SIGA,,,
23-H3-C-R6-,URLI,,,
01-H4-C-R6-,ACAM,,,
02-H4-C-R6-,ACWR,,,
03-H4-C-R6-,AMME,,,
04-H4-C-R6-,ANAR,,,
05-H4-C-R6-,BRMA,,,
06-H4-C-R6-,CEME,,,
07-H4-C-R6-,CHGL,,,
08-H4-C-R6-,CHPA,,,
09-H4-C-R6-,CLBO,,,
10-H4-C-R6-,CLPU,,,
11-H4-C-R6-,ERCI,,,
12-H4-C-R6-,EUSP,,,
13-H4-C-R6-,FEMI,,,
14-H4-C-R6-,HECO,,,
15-H4-C-R6-,HOMU,,,
16-H4-C-R6-,LACA,,,
17-H4-C-R6-,MEPO,,,
18-H4-C-R6-,MICA,,,
19-H4-C-R6-,NAAT,,,
20-H4-C-R6-,PLER,,,
21-H4-C-R6-,SACO,,,
22-H4-C-R6-,SIGA,,,
23-H4-C-R6-,URLI,,,
01-H1-C-R7-,ACAM,,,
02-H1-C-R7-,ACWR,,,
03-H1-C-R7-,AMME,,,
04-H1-C-R7-,ANAR,,,
05-H1-C-R7-,BRMA,,,
06-H1-C-R7-,CEME,,,
07-H1-C-R7-,CHGL,,,
08-H1-C-R7-,CHPA,,,
09-H1-C-R7-,CLBO,,,
10-H1-C-R7-,CLPU,,,
11-H1-C-R7-,ERCI,,,
12-H1-C-R7-,EUSP,,,
13-H1-C-R7-,FEMI,,,
14-H1-C-R7-,HECO,,,
15-H1-C-R7-,HOMU,,,
16-H1-C-R7-,LACA,,,
17-H1-C-R7-,MEPO,,,
18-H1-C-R7-,MICA,,,
19-H1-C-R7-,NAAT,,,
20-H1-C-R7-,PLER,,,
21-H1-C-R7-,SACO,,,
22-H1-C-R7-,SIGA,,,
23-H1-C-R7-,URLI,,,
01-H2-C-R7-,ACAM,,,
02-H2-C-R7-,ACWR,,,
03-H2-C-R7-,AMME,,,
04-H2-C-R7-,ANAR,,,
05-H2-C-R7-,BRMA,,,
06-H2-C-R7-,CEME,,,
07-H2-C-R7-,CHGL,,,
08-H2-C-R7-,CHPA,,,
09-H2-C-R7-,CLBO,,,
10-H2-C-R7-,CLPU,,,
11-H2-C-R7-,ERCI,,,
12-H2-C-R7-,EUSP,,,
13-H2-C-R7-,FEMI,,,
14-H2-C-R7-,HECO,,,
15-H2-C-R7-,HOMU,,,
16-H2-C-R7-,LACA,,,
17-H2-C-R7-,MEPO,,,
18-H2-C-R7-,MICA,,,
19-H2-C-R7-,NAAT,,,
20-H2-C-R7-,PLER,,,
21-H2-C-R7-,SACO,,,
22-H2-C-R7-,SIGA,,,
23-H2-C-R7-,URLI,,,
01-H3-C-R7-,ACAM,,,
02-H3-C-R7-,ACWR,,,
03-H3-C-R7-,AMME,,,
04-H3-C-R7-,ANAR,,,
05-H3-C-R7-,BRMA,,,
06-H3-C-R7-,CEME,,,
07-H3-C-R7-,CHGL,,,
08-H3-C-R7-,CHPA,,,
09-H3-C-R7-,CLBO,,,
10-H3-C-R7-,CLPU,,,
11-H3-C-R7-,ERCI,,,
12-H3-C-R7-,EUSP,,,
13-H3-C-R7-,FEMI,,,
14-H3-C-R7-,HECO,,,
15-H3-C-R7-,HOMU,,,
16-H3-C-R7-,LACA,,,
17-H3-C-R7-,MEPO,,,
18-H3-C-R7-,MICA,,,
19-H3-C-R7-,NAAT,,,
20-H3-C-R7-,PLER,,,
21-H3-C-R7-,SACO,,,
22-H3-C-R7-,SIGA,,,
23-H3-C-R7-,URLI,,,
01-H4-C-R7-,ACAM,,,
02-H4-C-R7-,ACWR,,,
03-H4-C-R7-,AMME,,,
04-H4-C-R7-,ANAR,,,
05-H4-C-R7-,BRMA,,,
06-H4-C-R7-,CEME,,,
07-H4-C-R7-,CHGL,,,
08-H4-C-R7-,CHPA,,,
09-H4-C-R7-,CLBO,,,
10-H4-C-R7-,CLPU,,,
11-H4-C-R7-,ERCI,,,
12-H4-C-R7-,EUSP,,,
13-H4-C-R7-,FEMI,,,
14-H4-C-R7-,HECO,,,
15-H4-C-R7-,HOMU,,,
16-H4-C-R7-,LACA,,,
17-H4-C-R7-,MEPO,,,
18-H4-C-R7-,MICA,,,
19-H4-C-R7-,NAAT,,,
20-H4-C-R7-,PLER,,,
21-H4-C-R7-,SACO,,,
22-H4-C-R7-,SIGA,,,
23-H4-C-R7-,URLI,,,
01-H1-C-R8-,ACAM,,,
02-H1-C-R8-,ACWR,,,
03-H1-C-R8-,AMME,,,
04-H1-C-R8-,ANAR,,,
05-H1-C-R8-,BRMA,,,
06-H1-C-R8-,CEME,,,
07-H1-C-R8-,CHGL,,,
08-H1-C-R8-,CHPA,,,
09-H1-C-R8-,CLBO,,,
10-H1-C-R8-,CLPU,,,
11-H1-C-R8-,ERCI,,,
12-H1-C-R8-,EUSP,,,
13-H1-C-R8-,FEMI,,,
14-H1-C-R8-,HECO,,,
15-H1-C-R8-,HOMU,,,
16-H1-C-R8-,LACA,,,
17-H1-C-R8-,MEPO,,,
18-H1-C-R8-,MICA,,,
19-H1-C-R8-,NAAT,,,
20-H1-C-R8-,PLER,,,
21-H1-C-R8-,SACO,,,
22-H1-C-R8-,SIGA,,,
23-H1-C-R8-,URLI,,,
01-H2-C-R8-,ACAM,,,
02-H2-C-R8-,ACWR,,,
03-H2-C-R8-,AMME,,,
04-H2-C-R8-,ANAR,,,
05-H2-C-R8-,BRMA,,,
06-H2-C-R8-,CEME,,,
07-H2-C-R8-,CHGL,,,
08-H2-C-R8-,CHPA,,,
09-H2-C-R8-,CLBO,,,
10-H2-C-R8-,CLPU,,,
11-H2-C-R8-,ERCI,,,
12-H2-C-R8-,EUSP,,,
13-H2-C-R8-,FEMI,,,
14-H2-C-R8-,HECO,,,
15-H2-C-R8-,HOMU,,,
16-H2-C-R8-,LACA,,,
17-H2-C-R8-,MEPO,,,
18-H2-C-R8-,MICA,,,
19-H2-C-R8-,NAAT,,,
20-H2-C-R8-,PLER,,,
21-H2-C-R8-,SACO,,,
22-H2-C-R8-,SIGA,,,
